policy,training_seed,environment_seed,scenario,regime,raw_episode_reward,event_recall,missed_event_rate,total_energy_consumption,harvested_energy,final_battery,mean_aoi,p95_aoi,max_aoi,redundant_sampling,network_coverage,network_utility,samples_delivered,samples_requested,sample_rejections,channel_blocks,sleep_actions,sample_actions,sample_action_fraction,ablation,model_path
Full QMIX,102,1024,volatile,coordinated,71.12933333333329,0.6324786324786325,0.36752136752136755,12.945840000000045,27.734086011533236,0.13792623566021397,6.801215277777778,27.0,46.0,51.0,0.9777199074074073,0.6183869499841721,255,287,0,32,865,287,0.24913194444444445,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1025,volatile,coordinated,-15.258999999999965,0.40145985401459855,0.5985401459854014,13.495840000000051,27.631273780374894,0.024522957084204638,6.605902777777778,28.0,42.0,58.0,0.8828125,0.35441377737226276,266,320,0,54,832,320,0.2777777777777778,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1026,volatile,coordinated,-12.710666666666686,0.427536231884058,0.572463768115942,12.595840000000045,28.031244741185912,0.00832694600411571,8.26388888888889,33.0,48.0,41.0,0.9447337962962964,0.4039079274020398,248,274,0,26,878,274,0.2378472222222222,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1027,volatile,coordinated,49.00333333333337,0.5263157894736842,0.4736842105263158,12.795840000000045,27.875509386714086,0.022276806531550345,9.14236111111111,35.0,57.0,44.0,0.9620949074074073,0.5063657407407407,252,287,0,35,865,287,0.24913194444444445,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1028,volatile,coordinated,43.08466666666666,0.5231788079470199,0.4768211920529801,13.045840000000055,27.621479294635346,0.020234241764747075,8.26388888888889,33.0,63.0,48.0,0.9649884259259258,0.504861494358597,257,295,0,38,857,295,0.2560763888888889,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1029,volatile,coordinated,47.252999999999986,0.48847926267281105,0.511520737327189,13.895840000000065,27.800474848912,0.031081113755072505,7.623263888888889,32.0,60.0,57.0,0.9201388888888888,0.44946876600102403,274,331,0,57,821,331,0.2873263888888889,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,102,1030,volatile,coordinated,60.26466666666662,0.49783549783549785,0.5021645021645021,14.295840000000078,27.873481980284083,0.03046608267507725,7.713541666666667,34.0,57.0,59.0,0.9233217592592591,0.4596623476831809,282,344,0,62,808,344,0.2986111111111111,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed102.onnx
Full QMIX,103,1001,volatile,coordinated,86.03800000000007,0.49174917491749176,0.5082508250825082,13.345840000000024,27.869978979177933,0.012236548598728539,8.036458333333334,33.0,47.0,73.0,0.9105902777777778,0.44778201778511184,263,336,0,73,816,336,0.2916666666666667,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed103.onnx
Full QMIX,103,1002,volatile,coordinated,135.77766666666665,0.5580524344569289,0.44194756554307113,14.74584000000014,28.196069389932298,0.022707166705631297,7.532986111111111,33.450000000000045,60.0,76.0,0.9502314814814815,0.5302789915383549,291,354,0,63,798,354,0.3072916666666667,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed103.onnx
Full QMIX,103,1003,volatile,coordinated,62.01433333333336,0.54375,0.45625000000000004,12.545840000000007,28.045742792782573,0.061971854554865605,7.595486111111111,29.450000000000045,52.0,46.0,0.9673032407407409,0.5259711371527779,247,284,0,37,868,284,0.2465277777777778,full,/Users/rajiv/Desktop/FinalYearProject-MARL/results/learned_models/coordinated/qmix_seed103.onnx
