policy,environment_seed,raw_episode_reward,event_recall,total_energy_consumption,mean_aoi,redundant_sampling,network_coverage,samples_delivered,samples_requested,channel_blocks,sample_action_fraction
Greedy,4025,-196.96633333333378,0.30612244897959184,19.295840000000187,9.091145833333334,184.0,0.9016203703703705,382.0,734.0,352.0,0.6371527777777778
Greedy,4026,-225.15600000000015,0.2849162011173184,19.695840000000207,8.283854166666666,192.0,0.8854166666666666,390.0,758.0,368.0,0.6579861111111112
Greedy,4027,-163.0113333333342,0.34977578475336324,19.295840000000187,9.230902777777779,187.0,0.8877314814814814,382.0,733.0,351.0,0.6362847222222222
Greedy,4028,-119.38000000000041,0.4036697247706422,19.395840000000195,8.7109375,183.0,0.9401041666666666,384.0,738.0,354.0,0.640625
Greedy,4029,-183.44800000000058,0.3346303501945525,19.345840000000187,8.769965277777779,184.0,0.8741319444444444,383.0,738.0,355.0,0.640625
Greedy,4030,-183.6950000000009,0.34657039711191334,19.645840000000206,8.50173611111111,188.0,0.8645833333333334,389.0,746.0,357.0,0.6475694444444444
QMIX Unanimous Ensemble,4001,104.81433333333334,0.5374449339207048,11.145839999999946,6.346354166666667,52.0,0.9395254629629629,219.0,260.0,41.0,0.22569444444444445
QMIX Unanimous Ensemble,4002,121.2886666666667,0.5550660792951542,11.695839999999967,4.787326388888889,56.0,0.9432870370370371,230.0,254.0,24.0,0.2204861111111111
QMIX Unanimous Ensemble,4003,178.57700000000008,0.6596858638743456,11.895840000000113,4.193576388888889,53.0,0.9756944444444444,234.0,276.0,42.0,0.23958333333333334
QMIX Unanimous Ensemble,4004,199.77966666666657,0.61003861003861,11.995840000000033,6.068576388888889,61.0,0.9476273148148147,236.0,272.0,36.0,0.2361111111111111
QMIX Unanimous Ensemble,4005,123.407,0.6369426751592356,10.395839999999993,5.651909722222222,54.0,0.9791666666666666,204.0,236.0,32.0,0.2048611111111111
QMIX Unanimous Ensemble,4006,141.049,0.6062176165803109,11.24584,6.002604166666667,46.0,0.9600694444444444,221.0,256.0,35.0,0.2222222222222222
QMIX Unanimous Ensemble,4007,171.58666666666662,0.6595744680851063,10.495840000000001,6.682291666666667,48.0,0.9936342592592593,206.0,249.0,43.0,0.21614583333333334
QMIX Unanimous Ensemble,4008,168.60600000000005,0.634020618556701,12.04584000000003,3.939236111111111,45.0,0.96875,237.0,269.0,32.0,0.23350694444444445
QMIX Unanimous Ensemble,4009,136.13466666666656,0.576036866359447,11.195839999999949,5.779513888888889,48.0,0.9641203703703702,220.0,259.0,39.0,0.2248263888888889
QMIX Unanimous Ensemble,4010,109.29166666666661,0.551219512195122,10.745839999999978,6.931423611111111,41.0,0.9398148148148147,211.0,240.0,29.0,0.20833333333333334
QMIX Unanimous Ensemble,4011,236.42166666666648,0.6472868217054264,13.095840000000068,4.045138888888889,61.0,0.9814814814814815,258.0,306.0,48.0,0.265625
QMIX Unanimous Ensemble,4012,163.53500000000005,0.5877551020408164,11.59583999999998,6.627604166666667,58.0,0.9496527777777778,228.0,259.0,31.0,0.2248263888888889
QMIX Unanimous Ensemble,4013,149.32666666666668,0.5647058823529412,11.89584000000005,5.896701388888889,62.0,0.9241898148148147,234.0,276.0,42.0,0.23958333333333334
QMIX Unanimous Ensemble,4014,166.962,0.6226415094339622,12.245840000000024,4.446180555555555,55.0,0.9644097222222222,241.0,292.0,51.0,0.2534722222222222
QMIX Unanimous Ensemble,4015,148.7096666666668,0.6298342541436464,10.345839999999981,5.720486111111111,43.0,0.9675925925925927,203.0,234.0,31.0,0.203125
QMIX Unanimous Ensemble,4016,201.10366666666667,0.7010869565217391,11.595840000000017,4.923611111111111,50.0,0.9875578703703702,228.0,262.0,34.0,0.22743055555555555
QMIX Unanimous Ensemble,4017,173.29599999999982,0.5586206896551724,12.44584000000002,5.734375,58.0,0.9166666666666666,245.0,292.0,47.0,0.2534722222222222
QMIX Unanimous Ensemble,4018,171.9269999999999,0.6368159203980099,12.195840000000079,4.135416666666667,53.0,0.9748263888888888,240.0,281.0,41.0,0.2439236111111111
QMIX Unanimous Ensemble,4019,150.8390000000001,0.6205128205128205,11.045839999999991,5.763020833333333,53.0,0.9557291666666666,217.0,243.0,26.0,0.2109375
QMIX Unanimous Ensemble,4020,100.38100000000001,0.6666666666666666,9.645839999999987,4.896701388888889,37.0,0.9930555555555556,189.0,215.0,26.0,0.18663194444444445
QMIX Unanimous Ensemble,4021,133.85566666666662,0.6032608695652174,11.045839999999975,5.506944444444445,45.0,0.9606481481481483,217.0,245.0,28.0,0.2126736111111111
QMIX Unanimous Ensemble,4022,129.92999999999998,0.6510067114093959,10.145839999999948,5.006076388888889,40.0,0.9904513888888888,199.0,236.0,37.0,0.2048611111111111
QMIX Unanimous Ensemble,4023,144.8516666666667,0.5691056910569106,12.195840000000013,4.518229166666667,60.0,0.937210648148148,240.0,279.0,39.0,0.2421875
QMIX Unanimous Ensemble,4024,183.22099999999995,0.575,13.495840000000053,3.7074652777777777,65.0,0.9348958333333334,266.0,318.0,52.0,0.2760416666666667
QMIX Unanimous Ensemble,4025,113.07099999999997,0.6326530612244898,10.595839999999951,5.249131944444445,50.0,0.9756944444444444,208.0,239.0,31.0,0.2074652777777778
QMIX Unanimous Ensemble,4026,131.32099999999988,0.6033519553072626,10.495839999999944,4.543402777777778,45.0,0.9817708333333334,206.0,242.0,36.0,0.21006944444444445
QMIX Unanimous Ensemble,4027,191.64666666666665,0.6322869955156951,12.995840000000063,3.625,60.0,0.9597800925925924,256.0,296.0,40.0,0.2569444444444444
QMIX Unanimous Ensemble,4028,161.51033333333322,0.6055045871559633,11.995840000000017,4.087673611111111,52.0,0.9742476851851851,236.0,274.0,38.0,0.2378472222222222
QMIX Unanimous Ensemble,4029,194.74300000000008,0.6070038910505836,11.495840000000085,7.1640625,61.0,0.9557291666666666,226.0,273.0,47.0,0.23697916666666666
QMIX Unanimous Ensemble,4030,221.63533333333328,0.6245487364620939,12.945840000000056,4.434895833333333,69.0,0.9603587962962963,255.0,304.0,49.0,0.2638888888888889
